LAMMPS Description

     5184  atoms
     0  bonds
     0  angles
     0  dihedrals
     0  impropers

     2  atom types

  0.0 42.72 xlo xhi
  0.0 42.72 ylo yhi
  0.0 42.72 zlo zhi

Masses

    1 28.0855
    2  15.9994

Atoms # atomic

342 1 5.34 19.58 16.02
343 1 3.56 17.8 14.24
344 1 5.34 16.02 19.58
345 2 0.89 15.13 15.13
346 2 6.23 18.69 16.91
347 2 2.67 16.91 15.13
348 2 4.45 15.13 18.69
349 2 0.89 18.69 18.69
350 2 4.45 18.69 15.13
351 2 2.67 20.47 18.69
352 2 2.67 15.13 16.91
353 2 4.45 16.91 20.47
354 2 6.23 16.91 18.69
355 2 2.67 18.69 20.47
356 2 0.89 20.47 20.47
357 2 0.89 16.91 16.91
358 2 4.45 20.47 16.91
359 2 6.23 20.47 15.13
360 2 6.23 15.13 20.47
361 1 0.0 14.24 21.36
362 1 0.0 17.8 24.92
363 1 1.78 16.02 23.14
364 1 3.56 14.24 24.92
365 1 1.78 19.58 26.7
366 1 5.34 19.58 23.14
367 1 3.56 17.8 21.36
368 1 5.34 16.02 26.7
369 2 0.89 15.13 22.25
370 2 6.23 18.69 24.03
371 2 2.67 16.91 22.25
372 2 4.45 15.13 25.81
373 2 0.89 18.69 25.81
374 2 4.45 18.69 22.25
375 2 2.67 20.47 25.81
376 2 2.67 15.13 24.03
377 2 4.45 16.91 27.59
378 2 6.23 16.91 25.81
379 2 2.67 18.69 27.59
380 2 0.89 20.47 27.59
381 2 0.89 16.91 24.03
382 2 4.45 20.47 24.03
383 2 6.23 20.47 22.25
384 2 6.23 15.13 27.59
385 1 0.0 14.24 28.48
386 1 0.0 17.8 32.04
387 1 1.78 16.02 30.26
388 1 3.56 14.24 32.04
389 1 1.78 19.58 33.82
390 1 5.34 19.58 30.26
391 1 3.56 17.8 28.48
392 1 5.34 16.02 33.82
393 2 0.89 15.13 29.37
394 2 6.23 18.69 31.15
395 2 2.67 16.91 29.37
396 2 4.45 15.13 32.93
397 2 0.89 18.69 32.93
398 2 4.45 18.69 29.37
399 2 2.67 20.47 32.93
400 2 2.67 15.13 31.15
401 2 4.45 16.91 34.71
402 2 6.23 16.91 32.93
